"Ownership Name","DBA Name","Street Address","LIC Code Description"
"Binaya Pokharel And Mandira Shrestha","23rd & Guerrero Liquor Store","3558 23rd St","Retail Food Market W/food Prep. Lt 5001 Sqft"
"Samra Bros Inc","26th & Guerrero Market","1400 Guerrero St","Multiple"
"Shehadeh Nizar A","Abc Market","2801 Bryant St","Multiple"
"Mosleh Hamood","All Season Market","401 Capp St","Multiple"
"All Season Market","All Season Market","401 Capp St","Multiple"
"Cervantes Marisa","All Star Candy","3350 18th St","Retail Mkts W/o Prep (Under 5,001)"
"Anthony's Cookies Inc","Anthony's Cookies Inc","1417 Valencia St","Retail Bakeries With Food Prep"
"Elias Carmen","Bakery La Mejor","3329 24th St","Retail Bakeries With Food Prep"
"Lai Hung Dat","Basa Seafood Express","3064 24th St","Multiple"
"Best Buy Stores, L.p.","Best Buy Stores Lp","1717 Harrison St","Retail Mkts W/o Prep (Under 5,001)"
"Biuon Inc","Biuon Inc","1798 Mission St","Multiple"
"Karla Garcia","Bris's Creations","2782 24th St","Retail Bakeries W/o Food Prep"
"Cleusenir B Dias","Cafe Valencia","1252 Valencia St","Retail Food Market W/food Prep. Lt 5001 Sqft"
"Gil Pedro & Jose","Casa Guadalupe #2","2909 Mission St","Multiple"
"Gil Pedro & Jose","Casa Guadalupe #3","2999 Mission St","Multiple"
"Casa Latinamarket,inc","Casa Latina Market,inc","3020 16th","Retail Food Market W/food Prep 5,001 - 10,000 Sqft"
"Alaraz Corp","Casa Lucas Mkt","2934 24th St","Multiple"
"Casa Thai Market Inc","Casa Thai Market","3020 16th St","Multiple"
"Kfka Corp","City Discount Meat & Grocery Market","2298 Mission St","Multiple"
"City Discount Meat & Grocery Market Inc","City Discount Meat & Grocery Mrket Inc","2298 Mission St","Multiple"
"Shariff Sharif A","City Smoke And Gift Shop","2196 Mission St","Multiple"
"Araj Paul B","Dagwood & Scoops","2736 24th St","Multiple"
"Daiso California Llc","Daiso Japan","2300 16th St 285","Multiple"
"Lopez Lima Angeles","De Todo Un Poco","3056 24th St","Retail Mkts W/o Prep (Under 5,001)"
"Mehari Alemayehu A/solomon A","Decamere Super Market","1001 Valencia St","Multiple"
"Lopez-Iriarte Oscar","Deli 23","2449 23rd St","Multiple"
"Diandas Ital Amer Pstry Co Inc","Diandas Ital Amer Pstry Co Inc","2883 Mission St","Multiple"
"Rahimi Mohammed","Discount City","2786 Mission St","Retail Mkts W/o Prep (Under 5,001)"
"Arman Zahra Naheed","Dollar Deal","2100 Mission St","Retail Mkts W/o Prep (Under 5,001)"
"Keyaki Llc","Dolores Outpost","698 Guerrero St","Multiple"
"Velasco Jerry F/velasco Teresa","Dona Teres Market","2780 21st St","Retail Food Market W/food Prep. Lt 5001 Sqft"
"Ngo Howard & Vuong Dzung My","Duc Loi Supermarket","2200 Mission St","Multiple"
"Ibrahim Assad M","E And M Market","399 Valencia St","Multiple"
"Ed & Danny's Mkt Inc","Ed & Danny's Mkt","999 Van Ness Ave","Multiple"
"Hernandez Ricardo/hernandez Jose/hernandez Guadalupe","El Chico Produce Market #4","2965 24th St","Multiple"
"Acevez Teresa","El Nuevo Porvenir","2950 21st St","Multiple"
"Sh Empire Market Inc","Empire Liquor & Grocery","1859 Market St","Multiple"
"Eterna Primavera Bakery Llc","Eterna Primavera Bakery","2951 24th St Bldg","Retail Bakeries With Food Prep"
"E L I M Corporation","Evergreen Supermarket","2539 Mission St","Multiple"
"Malak Suheil","F&g Market","3698 20th St","Multiple"
"Hanna Ghattas","Fidas Market","1939 Mission St","Multiple"
"Fong Leona/fong Evelyn","Five Markets","2824 24th St","Multiple"
"Bay Area Warehouse Stores Inc.","Food 4 Less #357","1800 Folsom St","Multiple"
"Gift Nosh Llc","Foragers Present","1186 Valencia St 107","Multiple"
"Ateyeh Fuad M","Freds Liquors & Delicatessen","200 Valencia St","Multiple"
"Fresh Meat Market Inc","Fresh Meat Seafood Market","2704 Mission St","Multiple"
"Health Squad","Fresh Start #1","2631 23rd St","Multiple"
"Alsaad Yousef F","Garage Cafe & Market","320 11th St","Multiple"
"Gemini Wine & Spirits, Inc.","Gemini Bottle Co","2801 22nd Street","Multiple"
"Fadhel Hizam A","George's Market","2268 Mission St","Multiple"
"Bazail Abdou N. Alghaithi","George's Market","3149 24th St","Multiple"
"Alghaithi Akrum Abdo N","Ggp Market","2948 24th St","Multiple"
"Malak Suheil","Golden Eagle Market","896 Valencia St","Multiple"
"Rantisi Group Inc","Golden Market","2899 Mission St","Multiple"
"Golden State Food & Liquor Inc","Golden State Food & Liquor","1859 Market St","Multiple"
"Rantisi Fayek & Rantisi Chris","Guerrero Hill Market","3398 22nd St","Multiple"
"Le Vu V","Guerrero Shell","400 Guerrero St","Multiple"
"Guerrero Shell Llc","Guerrero Shell Llc","400 Guerrero St","Multiple"
"Gus's Community Market Llc","Gus's Community Market Llc","2111 Harrison St","Multiple"
"Healthy Spirits Inc","Healthy Spirits Valencia","300 Valencia St","Multiple"
"Hom Song Chin/leung","Homs Grocery","499 Guerrero St","Multiple"
"Cung Duong","Hwa Lei Market","2970 16th St #A","Multiple"
"Navjot Alisha Inc","Indian Spices And Groceries","3265 22 Nd St","Retail Mkts W/o Prep (Under 5,001)"
"Nomayca Inc","International Store","2481 Mission St","Retail Mkts W/o Prep (Under 5,001)"
"Muhawieh Linda/muhawieh Talal","Isaac's Market","2601 Folsom St","Multiple"
"Jasmine Market Inc","Jasmine Market","2397 Mission St","Multiple"
"Jasmine Rae Bakery Inc","Jasmine Rae Bakery","1890 Bryant St Ste 309","Retail Bakeries With Food Prep"
"C And B Liquor Inc","K & H Liquor","501 Valencia St","Multiple"
"Silverman Llc","King's Market","2398 Bryant St","Multiple"
"Huber Gamboa, Alfredo Ramos","La Canasta Produce","2097 Mission St","Multiple"
"Martinez Arturo","La Loma Produce #8","2840 Mission St","Multiple"
"Valle Francisco","La Mexicana Bakery","2804 24th St","Retail Bakeries With Food Prep"
"Gutierrez Alicia V","La Reyna Bakery","3114 24th St","Retail Bakeries With Food Prep"
"La Victoria Sf","La Victoria Sf","3249 24th St","Retail Food Market W/food Prep. Lt 5001 Sqft"
"Le Dix-Sept Llc","Le Dix-Sept","3376 18th St","Retail Bakeries W/o Food Prep"
"Lou Alvin T","Lo-Cost Meat Market #2","2918 24th St","Multiple"
"Ocana Manuel E","Lucky Pork Market","2659 Mission St","Multiple"
"Marsh A Breedg Grd For New Pfr","Marsh A Breedg Grd For New Pfr","1062 Valencia St","Multiple"
"Shuaibi Zaina A","Maurices Corner","3046 24th St","Multiple"
"Shelton Ryan","Merchant Roots","613 York St","Retail Bakeries With Food Prep"
"Mi Pueblito Market Llc","Mi Pueblito Market Llc","2765 Mission St","Retail Food Market W/food Prep. Lt 5001 Sqft"
"Ahmed Izzuddin/sharhan Waleed","Mi Rachito Produce & Meat","2169 Mission St","Multiple"
"Mi Tierra Food Inc","Mi Tierra Market","2023 Mission St","Multiple"
"D E Liquor, Inc.","Mike's Groceries And Liquors","2499 Mission St","Multiple"
"Biko Inc","Mikes Grocery & Liquor","2499 Mission St","Multiple"
"Us Hispanic Venture Inc","Milagros De Mexico","2400 Mission St","Multiple"
"Touchstone Climbing Inc","Mission Cliffs","2295 Harrison St","Multiple"
"Ctr For Urban Edu About Su Agr","Mission Community Market","84 Bartlett St","Certified Farmers Markets"
"Ymb Alpha Retail Llc","Mission Foodhall","3100 16th St","Retail Food Market W/food Prep. Lt 5001 Sqft"
"Abu-Nie Omar J","Mission Grocerteria","2950 23rd St","Multiple"
"Mission Groceries, Inc","Mission Grocery & Liquor","2130 Mission St","Multiple"
"Arnovick Brandon D","Mission Minis","3168 22nd St","Retail Bakeries With Food Prep"
"Reema Zaghloul","Mr.liquor","1200 Valencia St","Multiple"
"Ghaleb Dhekra","N&v Liquor And Grocery","2702 24th St","Multiple"
"Gonzalez H Elsa/arana Socorro","New Casa Maria Produce Market","1201 Van Ness Ave","Multiple"
"Bouri Tamara K","New Hampshire Market","2701 20th St","Multiple"
"Ng & Luo Enterprises Inc","Ng & Luo Enterprise Inc","3055 16th St","Multiple"
"Afewerk Senait S","Nick's Foods","1659 Market St","Multiple"
"Abundis Edgar","Nieves Cinco De Mayo Produce","3052 16th St","Retail Food Market W/food Prep. Lt 5001 Sqft"
"Totah B/totah M/ Totah N","Norms Market","2201 Bryant St","Multiple"
"Officemax Inc","Officemax No America Inc #582","1750 Harrison St","Multiple"
"G&h Convenience Inc","Pay And Save Market","599 Guerrero St","Multiple"
"El Tomate Inc","Pedritos","3254 23rd St","Multiple"
"Performance Service Station","Performance Service Station","388 Potrero Ave","Multiple"
"Potrero Market And Deli","Potrero Market And Deli","1298 Potrero Ave","Multiple"
"Jada Rimon & Sana","R Image Market","2896 Folsom St #98","Multiple"
"Rainbow Grocery Inc","Rainbow Grocery Cooperative In","1745 Folsom St","Multiple"
"Zeidan Majed B","Randas Market","3131 16th St","Multiple"
"Choi Jeoung Hoon","Rhea's Market & Deli","800 Valencia St","Multiple"
"301 Rolph Street Corporation","Ricci's Mrket","2790 24th St","Multiple"
"Abdullah Ahmed A","Riccis Market","2790 24th St","Multiple"
"Ross Dress For Less Inc","Ross Dress For Less 385","2300 16th St Ste 265","Multiple"
"Horsens Llc","Royal Cuckoo Market","3368 19th St","Multiple"
"Alhuzaibi Naji Nomanmohsen","Rubins Market","2997 Folsom St","Multiple"
"Safeway Inc","Safeway Inc #1490","2300 16th St","Multiple"
"Samiramis Imports Inc","Samiramis Imports Inc","2990 Mission St","Multiple"
"Shaibi Shaya M","Samys Liquor","2847 24th St","Multiple"
"Binaya Pokharel / Kamal Lama","San Fran Market","3353 26th St Bldg","Multiple"
"Drktm Group Llc","San Fran Market","3353 26th St","Multiple"
"Caldera Elieth Del","San Francisco Tropical","2768 Mission St","Retail Mkts W/o Prep (Under 5,001)"
"Self Serve Petroleum Inc","Self-Serve Petrolium","599 Van Ness Ave","Multiple"
"Manea Esam A","Serve-U Market","2750 21st St","Multiple"
"Karajah Kamel F","Smoke Time","2733 Mission St","Multiple"
"Muela Carlos","Soma Streat Food Park","428 11th St","Multiple"
"Rat Oil Inc","South Van Ness Brushless","505 Van Ness Ave","Multiple"
"Mission Retail Inc","Stop And Shop Market","3000 Mission St","Multiple"
"Lai Hung Dat","Sun Fat Seafood Co.","2687 Mission St","Multiple"
"Target Corporation","Target Store T-3297","1690 Folsom St","Multiple"
"E B Liitt Corp","The Mission Grocery Outlet","1245 South Van Ness Ave","Multiple"
"Vitamin Shoppe Industries Inc","The Vitamin Shoppe","2300 16th St","Multiple"
"Tan James","Tokyo Futons","924 Valencia St","Retail Mkts W/o Prep (Under 5,001)"
"Muhammad Siddique","Tony's Market & Liquor","2751 24th St","Multiple"
"Vladigor Investments Inc","Tower Car Wash","1601 Mission St","Multiple"
"Eleftheriadis Kostas","Twenty-Third & Mission Produce","2700 Mission St","Multiple"
"Mz Gas Inc","Valencia 76","1298 Valencia St","Retail Mkts W/o Prep (Under 5,001)"
"Hort Sam & Hing Malinda","Valencia Farmers Market","1299 Valencia St","Multiple"
"Totah Ghassan & George","Valencia Grocery","1300 Valencia St","Multiple"
"Valencia Wholefoods Inc","Valencia Wholefoods Inc","999 Valencia St","Multiple"
"Perla & Arya Corporation","Valmar Super Market","16 Valencia St","Multiple"
"Nagi Abdo A","Vics Convenient Store","3300 26th St","Multiple"
"Zaher & Sons Inc","W-K Market","3098 24th St","Multiple"
"Walgreen Co","Walgreen Co","1979 Mission St","Supermarkets W/1 Food Prep"
"Walgreen Co","Walgreen's #04231","2690 Mission St","Multiple"
"Walgreen Co","Walgreens #03711","1189 Potrero Ave","Multiple"
"Walgreen Co","Walgreens #09886","3400 Cesar Chavez","Multiple"
"Yangtze Market Inc","Yangtze Market","2026 Mission St","Multiple"
"Zayed Market Inc","Zayed Market Inc","3347 24th St","Multiple"
